"""No (Text)""","""Marga (Text)""","""Marga (Link)""","""Angkola (Text)""","""Karo (Text)""","""Mandailing (Text)""","""Pakpak (Text)""","""Simalungun (Text)""","""Toba (Text)""","""Keterangan (Text)""","""Description"""
"""11""","""Banuarea""","""https://id.wikipedia.org/wiki/Banuarea""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Banurea merupakan salah satu marga Pakpak dari Suak simsim."""
"""12""","""Bakkara""","""https://id.wikipedia.org/wiki/Bakkara""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Bakara atau Bakkara (Surat Batak: ᯅᯰᯂᯒ) adalah salah satu marga Batak Toba yang berasal dari daerah Bakkara, Baktiraja, Humbang Hasundutan. Marga Bakara merupakan keturunan dari Toga Bakara, anak ketiga dari Siraja Oloan."""
"""13""","""Bariba""","""https://id.wikipedia.org/w/index.php?title=Bariba&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Damanik""","""Failed to fetch page"""
"""14""","""Baringbing""","""https://id.wikipedia.org/wiki/Baringbing""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Baringbing (Surat Batak: ᯅᯒᯪᯰᯅᯪᯰ) adalah salah satu marga Batak Toba yang berasal dari daerah Balige, Toba. Leluhur marga Baringbing adalah Ompu Sidomdom, Simangan Dalan, dan Ginjang Niporhas. Ketiganya merupakan cucu dari Raja Sapala Tua Tampuk Nabolon (Tampubolon)."""
"""15""","""Barotbot""","""https://id.wikipedia.org/w/index.php?title=Barotbot&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Damanik""","""Failed to fetch page"""
"""16""","""Baruara""","""https://id.wikipedia.org/wiki/Baruara""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Tambunan""","""Tambun atau Tambunan (Surat Batak: ᯖᯔ᯲ᯅᯮᯉᯉ᯲; ᯖᯔ᯲ᯅᯉᯮ᯲) adalah salah satu marga Batak Toba yang berasal dari daerah Balige, Toba. Leluhur marga Tambunan adalah Raja Tambun, anak bungsu dari Raja Silahisabungan, yang berasal dari Silalahi Nabolak, dengan istrinya yaitu Si Boru Similingiling, putri dari Raja Mangarerak."""
"""17""","""Barus""","""https://id.wikipedia.org/wiki/Barus_(marga)""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Barus (Surat Batak Karo: ᯆᯒᯘᯬ᯳; disebut juga sebagai Karokaro Barus) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Karokaro."""
"""18""","""Batuara""","""https://id.wikipedia.org/wiki/Batuara""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Nainggolan""","""Batuara (Surat Batak: ᯘᯪᯅᯖᯮᯀᯒ) disebut juga sebagai Sibatuara) adalah salah satu marga Batak Toba dan merupakan sub-marga dari marga Nainggolan yang berasal dari daerah Nainggolan, Samosir. Marga ini merupakan keturunan dari Sibatuara, cucu pertama dari Toga Nainggolan dan merupakan sub-marga sulung dan paling tua dari rumpun marga Nainggolan yang ada.[1]"""
"""19""","""Batubara""","""https://id.wikipedia.org/wiki/Batubara""","""Y""","""T""","""Y""","""T""","""T""","""Y""","""""","""No description found"""
"""20""","""Baumi""","""https://id.wikipedia.org/wiki/Baumi""","""T""","""T""","""Y""","""T""","""T""","""T""","""""","""Siregar (Surat Batak: ᯘᯪᯒᯩᯎᯒ᯲; ᯚᯪᯒᯩᯎᯒ᯲) adalah salah satu marga Batak yang berasal dari Muara, Tapanuli Utara. Marga Siregar merupakan keturunan dari Toga Siregar, anak bungsu dari Si Raja Lontung."""
"""21""","""Bayu""","""https://id.wikipedia.org/wiki/Bayu""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Damanik""","""Bayu (Sanskerta: वायुदाब वायु ; Vāyu, baca: Bayu, disebut juga Waata (वात: Vāta) atau Pawana (पवन: Pavana) atau Prāna) dalam agama Hindu adalah Dewa utama, bergelar sebagai Dewa angin. Udara (Vāyu) atau angin (Pāvana) merupakan salah satu unsur dalam Panca Maha Bhuta, lima elemen dasar dalam ajaran agama Hindu."""
"""22""","""Benjerang""","""https://id.wikipedia.org/wiki/Benjerang""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Perangin-angin""","""Banjerang (Surat Batak: ᯆᯉᯧ᯳ᯐᯧᯒᯰ; disebut juga sebagai Peranginangin Benjerang) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Peranginangin.[1]"""
"""23""","""Berampu""","""https://id.wikipedia.org/w/index.php?title=Berampu&action=edit&redlink=1""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Failed to fetch page"""
"""24""","""Beras""","""https://id.wikipedia.org/w/index.php?title=Beras_(marga)&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Ginting""","""Failed to fetch page"""
"""25""","""Berasa""","""https://id.wikipedia.org/wiki/Berasa""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Berasa merupakan salah satu marga Pakpak dari Suak Simsim."""
"""26""","""Beringin""","""https://id.wikipedia.org/wiki/Beringin_(marga)""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Beringin merupakan salah satu marga Pakpak dari Suak Simsim."""
"""27""","""Berutu/Barutu""","""https://id.wikipedia.org/wiki/Berutu""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Berutu (Surat Batak: ᯅᯨᯒᯮᯗᯮ ; terkadang ditulis sebagai Brutu atau Barutu) adalah salah satu marga Batak Pakpak yang berasal dari Siempat Rube, Pakpak Bharat. Marga Berutu memiliki hubungan kekerabatan dengan marga Solin dan marga Padang. Ketiganya merupakan marga tertua dalam masyarakat Pakpak di Suak Simsim. Masyarakat Pakpak percaya bahwa marga Berutu, Solin, dan Padang berasal dari satu ibu yang sama, yakni Berru Kombih.[1]"""
"""28""","""Bintang""","""https://id.wikipedia.org/wiki/Bintang_(marga)""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Bintang adalah salah satu marga Batak Pakpak yang berasal dari Tanoh Simsim. Marga Bintang termasuk ke dalam kelompok marga Sipitu Marga bersama marga Ujung, Angkat, Kudadiri, Sinamo, Capah, dan Gajahmanik."""
"""29""","""Boangmanalu""","""https://id.wikipedia.org/wiki/Boangmanalu""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""No description found"""
"""30""","""Bondar""","""https://id.wikipedia.org/wiki/Bondar""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Pasaribu""","""Bondar dapat mengacu pada hal ini:"""
"""31""","""Bondong""","""https://id.wikipedia.org/w/index.php?title=Bondong&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Tarigan""","""Failed to fetch page"""
"""32""","""Brahmana""","""https://id.wikipedia.org/wiki/Sembiring_Brahmana""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Brahmana merupakan salah satu kasta atau varna dalam sistem stratifikasi sosial masyarakat berdasarkan ajaran agama Hindu. Kelompok ini terdiri atas kaum intelektual yang memiliki penguasaan terhadap doktrin keagamaan, ilmu pengetahuan, adat istiadat, etika, serta praktik keagamaan. Pada masa lampau, golongan Brahmana umumnya terdiri dari para pendeta, tokoh agama, atau brahmin. Di sisi lain, istilah Brahmana, atau lebih lengkapnya Sembiring Brahmana, juga merujuk pada salah satu sub-marga dari merga Sembiring, yang merupakan salah satu dari 5 (lima) merga induk dalam masyarakat Batak Karo. Secara historis, merga Brahmana diyakini sebagai warisan budaya yang berasal dari pengaruh India ketika ajaran Hindu disebarkan di wilayah Karo."""
"""33""","""Buaton""","""https://id.wikipedia.org/wiki/Buaton""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Nainggolan""","""Buaton (Surat Batak: ᯅᯮᯀᯖᯉᯬ᯲) adalah salah satu marga Batak Toba yang berasal dari Pusuk, Parlilitan, Humbang Hasundutan dan merupakan turunan dari marga Nainggolan. Leluhur marga Buaton adalah Mogot Hualu Darmahasi, anak kedua dari Datu Parulas Parultop, keturunan dari Tungkup Raja, cucu keempat dari Toga Nainggolan yang berasal dari Nainggolan, Samosir.[1]"""
"""34""","""Bukit""","""https://id.wikipedia.org/w/index.php?title=Bukit_(marga)&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Failed to fetch page"""
"""35""","""Buniaji""","""https://id.wikipedia.org/w/index.php?title=Buniaji&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Failed to fetch page"""
"""36""","""Busuk""","""https://id.wikipedia.org/w/index.php?title=Busuk_(marga)&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Failed to fetch page"""
"""37""","""Butarbutar""","""https://id.wikipedia.org/wiki/Butarbutar""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Butarbutar (Surat Batak: ᯅᯮᯖᯒ᯲ᯅᯮᯖᯒ᯲) adalah salah satu marga Batak Toba yang berasal dari Toba. Leluhur marga Butarbutar adalah Raja Butarbutar, anak bungsu dari Raja Mangatur, keturunan Narasaon.[1]"""
"""38""","""Capah""","""https://id.wikipedia.org/wiki/Capah""","""T""","""Y""","""T""","""Y""","""T""","""T""","""Submarga Ginting""","""Capah adalah salah satu marga Batak Pakpak yang berasal dari Tanoh Simsim. Marga Capah termasuk ke dalam kelompok marga Sipitu Marga bersama marga Ujung, Angkat, Bintang, Kudadiri,Manik Gajah, Sinamo."""
"""39""","""Cibro""","""https://id.wikipedia.org/wiki/Cibro""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Siboro (Surat Batak: ᯘᯪᯅᯬᯒᯬ) adalah salah satu marga Batak. Marga ini terdapat dalam masyarakat Batak Pakpak dengan nama marga """"Cibero"""", masyarakat Batak Toba dengan nama marga """"Siboro"""", masyarakat Batak Karo dengan nama marga """"Tarigan Sibero"""", dan masyarakat Batak Simalungun dengan nama marga """"Purba Siboro"""". Marga ini juga ada di Singkil, Alas dan Gayo dengan nama marga """"Cibro""""."""
"""40""","""Colia""","""https://id.wikipedia.org/wiki/Colia""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Colia (Surat Batak: ᯡᯨᯞᯪᯀ; disebut juga sebagai Sembiring Colia) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Sembiring.[1]"""
"""41""","""Dajawak""","""https://id.wikipedia.org/wiki/Dajawak""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Saragih""","""Sijabat (Surat Batak: ᯘᯪᯐᯅᯖ᯲) merupakan salah satu marga Batak Toba yang berasal dari Samosir. Marga Sijabat diyakini sebagai asal dari marga Dajawak yang ada di Simalungun serta marga Ginting Jawak yang ada di Taneh Karo."""
"""42""","""Dalimunthe""","""https://id.wikipedia.org/wiki/Dalimunthe""","""Y""","""T""","""Y""","""T""","""T""","""T""","""Sama dengan marga Munte/Munthe""","""No description found"""
"""43""","""Damanik""","""https://id.wikipedia.org/wiki/Damanik""","""T""","""T""","""T""","""T""","""Y""","""T""","""""","""Damanik (Surat Batak: ᯑᯕᯉᯫᯃ᯳) adalah salah satu marga dari empat marga asli Batak Simalungun. Damanik merupakan marga tertua di Batak Simalungun."""
"""44""","""Damunthei""","""https://id.wikipedia.org/wiki/Damunthei""","""T""","""T""","""T""","""T""","""Y""","""Y""","""Sama dengan marga Munte/Munthe,  Submarga Saragih""","""No description found"""
"""45""","""Dasalak""","""https://id.wikipedia.org/wiki/Dasalak""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Saragih""","""Saragih (Surat Batak Simalungun:  ᯙᯓᯏᯫᯱ) adalah salah satu dari empat kelompok marga utama Batak Simalungun. Leluhur awal marga Saragih menempati wilayah Partuanan Raya dan Partuanan Silampuyang (sekarang merupakan bagian dari Kota Pematangsiantar dan Kecamatan Siantar, Simalungun).[1] Tersebar ke Taneh Karo sebagai Ginting Seragih"""
"""46""","""Dasopang""","""https://id.wikipedia.org/wiki/Dasopang""","""T""","""T""","""Y""","""T""","""T""","""T""","""""","""Dasopang (Surat Batak: ᯑᯚᯬᯇᯰ ) adalah salah satu marga Batak Mandailing yang merupakan keturunan dari Si Raja Hutagalung dan termasuk ke dalam kelompok marga Si Opat Pusoran.[1]"""
"""47""","""Daulay""","""https://id.wikipedia.org/wiki/Daulay""","""Y""","""T""","""Y""","""T""","""T""","""T""","""""","""Daulay atau Daulae merupakan salah satu marga Batak Angkola. Leluhur marga Daulay adalah Mata Sopiak (Parmata Sapihak), keturunan Raja Tambun yang berasal dari Balige, Toba. Namun sebagian kecil mengatakan  bahwa marga Daulay merupakan keturunan dari marga Sipahutar yang berasal dari Sipoholon, Tapanuli Utara."""
"""48""","""Debataraja""","""https://id.wikipedia.org/wiki/Debataraja""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Simamora""","""Simamora Debataraja (Surat Batak: ᯑᯩᯅᯖᯒᯐ; disebut juga sebagai Debataraja saja) adalah salah satu marga Batak Toba yang berasal dari Tipang, Baktiraja, Humbang Hasundutan. Leluhur marga Simamora Debataraja merupakan anak ketiga dari Toga Simamora."""
"""49""","""Depari""","""https://id.wikipedia.org/wiki/Depari""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Depari (Surat Batak: ᯑᯧᯇᯒᯪ; disebut juga sebagai Sembiring Depari) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Sembiring.[1]"""
"""50""","""Doloksaribu""","""https://id.wikipedia.org/wiki/Doloksaribu""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Doloksaribu (Surat Batak: ᯑᯬᯞᯂᯬ᯲ᯘᯒᯪᯅᯮ ) adalah salah satu marga Batak Toba yang berasal dari daerah Balige, Toba. Leluhur marga Doloksaribu adalah salah satu cucu dari Raja Bungabunga gelar Raja Parmahan Silalahi, keturunan Silahisabungan."""
"""51""","""Dongoran""","""https://id.wikipedia.org/wiki/Dongoran""","""Y""","""T""","""Y""","""T""","""T""","""Y""","""Submarga Siregar""","""Dongoran (Surat Batak: ᯑᯬᯝᯬᯒᯉ᯲) adalah salah satu marga Batak Toba dan Batak Angkola yang berasal dari Muara, Tapanuli Utara. Dongoran merupakan sub-marga dari marga Siregar yang mana leluhur marga Dongoran merupakan anak kedua dari Toga Siregar."""
"""52""","""Gajah""","""https://id.wikipedia.org/wiki/Gajah_(marga)""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Gajah merupakan salah satu marga Pakpak dari Suak Simsim."""
"""53""","""Gajahmanik""","""https://id.wikipedia.org/w/index.php?title=Gajahmanik&action=edit&redlink=1""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Failed to fetch page"""
"""54""","""Ganagana""","""https://id.wikipedia.org/w/index.php?title=Ganagana&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Tarigan""","""Failed to fetch page"""
"""55""","""Garamata""","""https://id.wikipedia.org/w/index.php?title=Garamata&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Ginting""","""Failed to fetch page"""
"""56""","""Garingging""","""https://id.wikipedia.org/wiki/Garingging""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Saragih""","""Saragih (Surat Batak Simalungun:  ᯙᯓᯏᯫᯱ) adalah salah satu dari empat kelompok marga utama Batak Simalungun. Leluhur awal marga Saragih menempati wilayah Partuanan Raya dan Partuanan Silampuyang (sekarang merupakan bagian dari Kota Pematangsiantar dan Kecamatan Siantar, Simalungun).[1] Tersebar ke Taneh Karo sebagai Ginting Seragih"""
"""57""","""Gerneng""","""https://id.wikipedia.org/w/index.php?title=Gerneng&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Tarigan""","""Failed to fetch page"""
"""58""","""Gersang""","""https://id.wikipedia.org/wiki/Gersang""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Tarigan""","""Arid atau gersang adalah iklim pada suatu lingkungan yang memiliki presipitasi hujan atau salju tahunan yang sangat rendah yang tidak mencukupi kebutuhan evaporasi dan transpirasi menurut klimatologi. Suatu wilayah diklasifikasikan sebagai arid jika indeks ariditasnya bernilai antara 0,05 dan 0,2. Sebagian besar gurun dikelompokkan sebagai semi-arid, arid, atau hiperarid."""
"""59""","""Ginting""","""https://id.wikipedia.org/wiki/Ginting""","""T""","""Y""","""T""","""T""","""T""","""T""","""""","""Ginting (Surat Batak Karo: ᯎᯉᯪ᯳ᯗᯪᯰ) adalah salah satu marga induk Batak Karo.[1] Ginting terdiri dari sembilan marga yang merupakan kesatuan tunggal, atau disebut sebagai Siwah Sada Ginting (Sembilan Satu Ginting). Kesembilan marga yang menjadi bagian dari Siwah Sada Ginting adalah:[2]"""
"""60""","""Girsang""","""https://id.wikipedia.org/wiki/Girsang""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Purba""","""No description found"""
"""61""","""Gorat""","""https://id.wikipedia.org/wiki/Gorat""","""T""","""T""","""T""","""T""","""T""","""Y""","""Sub-marga Pasaribu""","""Gorat adalah salah satu marga Batak. Marga Gorat adalah termasuk dalam kelompok dari marga Si Raja Borbor, dan beberapa keturunannya juga memakai marga Pasaribu. Gorat adalah keturunan Datu Marhandang Dalu dengan silsilah:"""
"""62""","""Gultom""","""https://id.wikipedia.org/wiki/Gultom""","""T""","""T""","""T""","""T""","""T""","""Y""","""Sub-marga Samosir""","""Gultom (Surat Batak: ᯎᯞᯮ᯲ᯖᯔᯬ᯲) adalah salah satu marga Batak Toba yang berasal dari daerah Onan Runggu, Samosir. Marga Gultom merupakan keturunan dari Toga Gultom, anak sulung dari Raja Sonang, keturunan dari Toga Pandiangan.[1]"""
"""63""","""Gurning""","""https://id.wikipedia.org/wiki/Gurning""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Gurning (Surat Batak: ᯎᯒᯮ᯲ᯉᯪᯰ) adalah salah satu marga Batak Toba yang berasal dari Samosir. Marga Gurning merupakan salah satu marga dalam Kelompok Naimarata atau Borbor Marsada dari keturunan Silau Raja (putra kelima dari Guru Tatea Bulan)."""
"""64""","""Gurukinayan""","""https://id.wikipedia.org/wiki/Gurukinayan""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Gurukinayan merupakan salah satu desa yang ada di kecamatan Payung, Kabupaten Karo, provinsi Sumatera Utara, Indonesia. desa ini salah satu zona berbahaya di erupsi gunung sinabung. Gurukinayan sangat berdekatan dengan Gunung Sinabung dengan radius 3 km dari gunung tersebut yang menbuat Gurukinayan tidak layak untuk di huni lagi."""
"""65""","""Gurupatih""","""https://id.wikipedia.org/w/index.php?title=Gurupatih&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Ginting""","""Failed to fetch page"""
"""66""","""Gurusinga""","""https://id.wikipedia.org/wiki/Gurusinga""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Templat:Infobox Merga Suku Karo"""
"""67""","""Habeahan""","""https://id.wikipedia.org/wiki/Habeahan""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Pasaribu""","""Habeahan (Surat Batak Toba: ᯂᯅᯩᯀᯂᯉ᯲), terkadang ditulis sebagai Habayahan (hanya di Tapanuli Tengah), adalah salah satu marga Batak Toba yang merupakan keturunan dari Pasaribu, dan termasuk ke dalam kelompok marga keturunan Si Raja Borbor. Kelompok marga Habeahan yang membaur dalam masyarakat Pakpak di Pakpak Bharat menggunakan marga Kebeakan."""
"""68""","""Harahap""","""https://id.wikipedia.org/wiki/Harahap""","""Y""","""T""","""Y""","""T""","""T""","""T""","""""","""Harahap (Surat Batak Toba: ᯂᯒᯂᯇ᯲; Surat Batak Angkola: ᯄᯒᯄᯇ᯲) adalah salah satu marga Batak Angkola dan Batak Mandailing. Harahap berasal dari kawasan Tapanuli Selatan, tetapi sebagian orang berpendapat bahwa Harahap bermigrasi dari Tapanuli Utara ke Selatan.[2]"""
"""69""","""Harianja""","""https://id.wikipedia.org/wiki/Harianja""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Samosir""","""Harianja (Surat Batak Toba: ᯂᯒᯪᯀᯉ᯲ᯐ) adalah salah satu marga Batak Toba yang berasal dari Onan Runggu, Samosir. Marga Harianja merupakan keturunan dari Raja Parhoris, cicit dari Toga Samosir, anak dari Raja Sonang, keturunan Toga Pandiangan.[1]"""
"""70""","""Haro""","""https://id.wikipedia.org/w/index.php?title=Haro_Rajagukguk&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""T""","""Y""","""Keturunan Rajagukguk""","""Failed to fetch page"""
"""71""","""Haromunthe""","""https://id.wikipedia.org/wiki/Haromunthe""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Munthe""","""Haromunthe (Surat Batak: ᯂᯒᯬᯔᯉᯮ᯲ᯖ᯲ᯂᯩ) adalah salah satu marga Batak Toba yang merupakan turunan dari marga Munte. Penulisan marga ini bervariasi antara Haro Munthe, Haro Munte, dan Haromunte. Marga Haromunthe berasal dari keturunan marga Munthe yang bernama Ompu Jelak Maribur.[1]"""
"""72""","""Hasibuan""","""https://id.wikipedia.org/wiki/Hasibuan""","""Y""","""T""","""Y""","""T""","""T""","""Y""","""j""","""No description found"""
"""73""","""Hasugian/Kasogihen""","""https://id.wikipedia.org/wiki/Hasugian""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga (Sihotang)""","""Hasugian (Surat Batak: ᯂᯘᯮᯎᯪᯀᯉ᯲; dikenal juga sebagai Hasugihon) adalah salah satu marga Batak Toba yang berasal dari daerah Parlilitan, Humbang Hasundutan. Leluhur marga ini merupakan keturunan dari Sihotang."""
"""74""","""Holing""","""https://id.wikipedia.org/wiki/Holing""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Damanik""","""Holing disebut juga Damanik Holing  adalah salah satu marga Batak Simalungun yang termasuk ke dalam induk marga Damanik."""
"""75""","""Hutabalian""","""https://id.wikipedia.org/wiki/Hutabalian""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Nainggolan""","""Hutabalian (Surat Batak: ᯂᯮᯖᯅᯞᯪᯀᯉ᯲) adalah salah satu marga Batak Toba dan merupakan turunan dari marga Nainggolan. Marga Hutabalian adalah turunan marga paling bungsu dan termuda dari semua turunan marga Nainggolan. Leluhur marga Hutabalian adalah Raja Padot, cucu terakhir dari Toga Nainggolan, yang berasal dari Nainggolan, Samosir.[1]"""
"""76""","""Hutabarat""","""https://id.wikipedia.org/wiki/Hutabarat""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Hutabarat (Surat Batak: ᯂᯮᯖᯅᯒᯖ᯲) adalah salah satu marga Batak Toba yang berasal dari Tarutung, Tapanuli Utara. Leluhur marga Hutabarat merupakan anak pertama dari Guru Mangaloksa dan termasuk ke dalam kelompok marga Si Opat Pusoran.[1]"""
"""77""","""Hutagalung""","""https://id.wikipedia.org/wiki/Hutagalung""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Hutagalung (Surat Batak: ᯂᯮᯖᯎᯞᯮᯰ) adalah salah satu marga Batak Toba yang berasal dari daerah Hutagalung, Siatas Barita, Tapanuli Utara. Leluhur marga Hutagalung merupakan anak ketiga dari Guru Mangaloksa dan termasuk ke dalam kelompok marga Si Opat Pusoran.[1]"""
"""78""","""Hutagaol""","""https://id.wikipedia.org/wiki/Hutagaol""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""No description found"""
"""79""","""Hutahaean""","""https://id.wikipedia.org/wiki/Hutahaean""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Hutahaean (Surat Batak: ᯂᯮᯖᯂᯀᯩᯀᯉ᯲) adalah salah satu marga Batak Toba yang berasal dari Laguboti, Toba. Hutahaean bersaudara dengan Aruan dan Hutajulu yang merupakan tiga anak dari Raja Pangulu Ponggok Naiborngin, turunan dari Raja Sipaettua. Selain itu marga Hutahaean mengikat janji (marpadan) sebagai seibu (saina) dengan marga Sitorus."""
